Date/Time,Symbol,Amount,CurrencyPrimary,FXRateToBase,Multiplier,Description,ISIN,ActionID
6/7/2022,NNC,3.66,NIO,4.1,2,"Supplement Aortic Valve with Nonaut Sub, Perc Approach",a4fdd95e-0205-4cc1-9cd1-58e25458f6af,c2682d9c-03c9-42fd-bc0e-f2e154eba186
7/18/2022,PUB,2.64,PLN,3.28,2,"Bypass Left Fallopian Tube to Uterus, Perc Endo Approach",0014f07c-9f81-41b7-bc84-ec4a496a3c22,eab15c07-afd0-4a7c-8da6-a31cf432f67a
2/21/2022,KRC^H,-4.45,CNY,4.48,2,"CT Scan of R Kidney using H Osm Contrast, Unenh, Enhance",c76ec32e-1cb0-435d-94e8-1f112ae9a5bc,cb515a23-f4ea-4ce9-a7cd-c1ca703aee4d
11/30/2022,KLAC,8.13,CNY,3.52,2,"Bypass Spinal Canal to Pleural Cav w Autol Sub, Open",97294b44-079d-45cf-8207-5026b5aa184b,3972a6cf-385a-4be6-86e4-ae932d8087c9
4/30/2022,ALT,-14.42,EUR,4.63,2,"Insertion of Feeding Device into Duodenum, Via Opening",a2db0c98-92dd-43f4-ad37-43cd6c327006,92969e10-e7b8-48ff-a4b5-f0a314240060
5/18/2022,PEI^B,0.09,IDR,3.41,2,"Measurement of MS Contractility, Extern Approach",7b42329a-5290-414e-81c1-84b62963a857,e3e3073e-0356-4fb8-ae6e-f00354d60947
5/11/2022,SBCP,6.45,CNY,4.15,2,HDR Brachytherapy of Spinal Cord using Iridium 192,b0a35da6-f2e6-4866-afb7-9ed73b57ee7c,1b36f01c-15ae-4827-91af-6dd044e09da3
7/17/2022,BMLA,14.92,SEK,4.63,2,"Repair Left Lower Leg, Percutaneous Approach",e379eeac-c0fb-4e55-952e-0830edaeb852,a98749ed-d67f-48a9-8bb4-9d3862d7186c
4/25/2022,CSL,9.94,HNL,4.9,1,MRI of L Shoulder using Oth Contrast,db553088-2b48-4c11-8c6e-773915a37adb,0a2baa36-8b9b-4b7e-acb0-4181f0c795dd
5/20/2022,HUBB,6.37,CNY,3.8,2,"Destruction of Left Seminal Vesicle, Perc Endo Approach",2b743d1d-7615-4dfe-91e0-3e68a6a357ec,e961b14b-e44a-4bae-9a30-69c51fcde0a0
2/27/2022,PAR,5.55,EUR,4.47,2,"Insertion of Other Device into POC, Via Opening",d7b3001d-414f-4bb7-b27c-3ad89c1ea8ff,1cbf97a5-9ecc-4436-b67f-ca596c0cae32
12/20/2022,WLKP,-1.86,CNY,4.13,1,Exercise Trmt Resp Body w Electrotherap Equip,71983c6b-fc37-4a79-80de-aa1bb8224e88,259a2ec1-2423-4932-a792-73cd7473adb4
